hour;linkID;link_type;start_node;end_node;flowrate;velocity;status
1:00:00;10207;Pipe;8700;8648;-0.01236852;0.38139983;1
1:00:00;10209;Pipe;8696;8702;0.01439070;0.44375645;1
1:00:00;10211;Pipe;8702;8704;0.01101993;0.33981436;1
1:00:00;10213;Pipe;8704;8706;0.00735375;0.22676260;1
1:00:00;10215;Pipe;8706;8708;0.00501815;0.15474138;1
1:00:00;10219;Pipe;8710;8712;0.00645485;0.19904391;1
1:00:00;10221;Pipe;8712;8714;0.00526666;0.16240433;1
1:00:00;10223;Pipe;8678;8716;0.00372394;0.11483277;1
1:00:00;10225;Pipe;8716;8718;0.00328788;0.10138629;1
1:00:00;10227;Pipe;8718;8720;0.00135812;0.04187932;1
1:00:00;10229;Pipe;8672;8722;0.01371770;0.42300347;1
1:00:00;10231;Pipe;8722;8724;0.00816353;0.25173344;1
1:00:00;10233;Pipe;8724;8726;0.00762180;0.23502836;1
1:00:00;10235;Pipe;8726;8728;0.00799096;0.24641190;1
1:00:00;10237;Pipe;8728;8730;0.00702037;0.21648248;1
1:00:00;10239;Pipe;8730;8732;0.00511497;0.15772706;1
1:00:00;10241;Pipe;8722;8734;0.00414687;0.12787436;1
1:00:00;10243;Pipe;8734;8792;0.00397305;0.12251435;1
1:00:00;10245;Pipe;8736;8726;0.00193593;0.05969693;1
1:00:00;10247;Pipe;8688;8738;0.00030060;0.03707711;1
1:00:00;10249;Pipe;8708;8740;0.00351037;0.43298757;1
1:00:00;10251;Pipe;8714;8742;0.00214676;0.26479337;1
1:00:00;10253;Pipe;8720;8744;0.00058848;0.07258687;1
1:00:00;10255;Pipe;8732;8746;0.00134042;0.16533451;1
1:00:00;10257;Pipe;8710;8682;-0.00903784;0.27869396;1
1:00:00;10305;Pipe;8792;8736;0.00296844;0.09153565;1
1:00:00;11059;Pipe;9402;4922;0.23716058;0.26533016;1
1:00:00;11067;Pipe;9410;8596;0.21812377;0.47830308;1
1:00:00;5359;Pipe;4922;9410;0.22708693;0.77805867;1
1:00:00;6210;Pipe;5656;4922;-0.00947272;0.02077184;1
1:00:00;P153;Pipe;J106;9402;0.24317334;0.27205710;1
1:00:00;P387;Pipe;J106;7384;-0.24610020;0.27533161;1
2:00:00;10101;Pipe;8596;8598;0.19441473;2.66446095;1
2:00:00;10103;Pipe;8598;8600;0.16400674;2.24771841;1
2:00:00;10105;Pipe;8600;8602;0.15938088;2.18432080;1
2:00:00;10107;Pipe;8598;8604;0.02683061;0.82735755;1
2:00:00;10109;Pipe;8604;8606;0.02102239;0.64825329;1
2:00:00;10111;Pipe;8606;8608;0.01468668;0.45288347;1
2:00:00;10113;Pipe;8608;8610;0.00896116;0.27632925;1
2:00:00;10115;Pipe;8610;8612;0.00286126;0.08823070;1
2:00:00;10117;Pipe;8612;8614;0.00121876;0.03758211;1
2:00:00;10119;Pipe;8602;8616;0.15227839;3.00525237;1
2:00:00;10121;Pipe;8616;8618;0.15003934;2.96106424;1
2:00:00;10123;Pipe;8618;8620;0.14673563;2.89586464;1
2:00:00;10125;Pipe;8620;8622;0.14672683;2.89569105;1
2:00:00;10127;Pipe;8622;8624;0.14106420;2.78393754;1
2:00:00;10129;Pipe;8624;8626;0.14097530;2.78218308;1
2:00:00;10131;Pipe;8626;8628;0.13357701;2.63617600;1
2:00:00;10133;Pipe;8628;8630;0.08099745;1.59850515;1
2:00:00;10135;Pipe;8630;8632;0.08047543;1.58820296;1
2:00:00;10137;Pipe;8632;8634;0.07996721;1.57817313;1
2:00:00;10139;Pipe;8634;8636;0.07652665;1.51027279;1
2:00:00;10141;Pipe;8636;8638;0.07621169;1.50405686;1
2:00:00;10143;Pipe;8638;8640;0.07458479;1.47194961;1
2:00:00;10145;Pipe;8640;8642;0.02783110;0.54925377;1
2:00:00;10147;Pipe;8628;8644;0.05039096;1.55387229;1
2:00:00;10149;Pipe;8644;8646;0.04851858;1.49613492;1
2:00:00;10151;Pipe;8646;8648;0.04675978;1.44190012;1
2:00:00;10153;Pipe;8648;8650;0.03243964;1.00031940;1
2:00:00;10155;Pipe;8650;8652;0.02968775;0.91546139;1
2:00:00;10157;Pipe;8652;8654;0.02795195;0.86193550;1
2:00:00;10159;Pipe;8654;8656;0.02546671;0.78530004;1
2:00:00;10161;Pipe;8656;8658;0.02069802;0.63825101;1
2:00:00;10163;Pipe;8658;8660;0.01789470;0.55180677;1
2:00:00;10165;Pipe;8660;8662;0.00630546;0.19443730;1
