startTime;edgeTime;cloudTime;notificationTime;clientName;hasLeak;leakGroup;prediction
1692258943.63;1692258944.132591;1692258944.133669;1692258944.181319;gateway_2;0;0;0
1692258944.132;1692258944.635321;1692258944.637329;1692258944.683316;gateway_2;0;0;0
1692258944.635;1692258945.138005;1692258945.140007;1692258945.186004;gateway_2;0;0;0
1692258945.138;1692258945.641018;1692258945.642004;1692258945.690004;gateway_2;0;0;0
1692258945.64;1692258946.143004;1692258946.144004;1692258946.192002;gateway_2;0;0;0
1692258946.143;1692258946.646003;1692258946.647015;1692258946.694002;gateway_2;0;0;0
1692258946.646;1692258947.149004;1692258947.151006;1692258947.197002;gateway_2;0;0;0
1692258947.149;1692258947.651745;1692258947.652744;1692258947.700758;gateway_2;0;1;1
1692258947.651;1692258948.154201;1692258948.156202;1692258948.2042;gateway_2;0;1;1
1692258948.154;1692258948.656932;1692258948.658931;1692258948.704932;gateway_2;0;1;1
1692258948.656;1692258949.160935;1692258949.162935;1692258949.208932;gateway_2;0;1;1
1692258949.16;1692258949.663479;1692258949.665487;1692258949.76447;gateway_2;0;1;1
1692258949.663;1692258950.167626;1692258950.168708;1692258950.215065;gateway_2;0;1;1
1692258950.167;1692258950.670058;1692258950.672058;1692258950.718057;gateway_2;0;1;1
1692258950.67;1692258951.173776;1692258951.175955;1692258951.222049;gateway_2;1;1;1
1692258951.173;1692258951.676038;1692258951.67804;1692258951.724038;gateway_2;0;1;1
1692258951.676;1692258952.179041;1692258952.181039;1692258952.22804;gateway_2;0;1;1
1692258952.179;1692258952.681779;1692258952.683779;1692258952.730781;gateway_2;0;0;0
1692258952.681;1692258953.184304;1692258953.185303;1692258953.231306;gateway_2;0;0;0
1692258953.184;1692258953.687308;1692258953.688302;1692258953.734303;gateway_2;0;0;0
1692258953.687;1692258954.190302;1692258954.191306;1692258954.236303;gateway_2;0;0;0
1692258954.189;1692258954.692306;1692258954.693305;1692258954.739301;gateway_2;0;0;0
1692258967.265;1692258967.769304;1692258967.770305;1692258967.817306;gateway_2;0;0;0
1692258967.768;1692258968.271134;1692258968.272138;1692258968.319132;gateway_2;0;0;0
1692258968.271;1692258968.774133;1692258968.775135;1692258968.821131;gateway_2;0;0;0
1692258968.774;1692258969.277134;1692258969.278133;1692258969.324151;gateway_2;0;0;0
1692258969.277;1692258969.779836;1692258969.78083;1692258969.826829;gateway_2;0;0;0
1692258969.779;1692258970.282832;1692258970.28483;1692258970.330827;gateway_2;0;0;0
1692258970.282;1692258970.78583;1692258970.78683;1692258970.842829;gateway_2;0;0;0
1692258970.785;1692258971.289828;1692258971.290829;1692258971.338829;gateway_2;0;0;0
1692258971.289;1692258971.791828;1692258971.792829;1692258971.838843;gateway_2;0;0;0
1692258971.791;1692258972.294829;1692258972.296829;1692258972.341829;gateway_2;0;0;0
1692258972.294;1692258972.797309;1692258972.799308;1692258972.845068;gateway_2;0;0;0
1692258972.797;1692258973.300073;1692258973.30207;1692258973.348068;gateway_2;0;0;0
1692258973.3;1692258973.80307;1692258973.804073;1692258973.850068;gateway_2;0;0;0
1692258973.802;1692258974.305074;1692258974.30707;1692258974.353069;gateway_2;0;0;0
1692258974.305;1692258974.808071;1692258974.809072;1692258974.856069;gateway_2;0;0;0
1692258974.808;1692258975.310763;1692258975.311763;1692258975.358765;gateway_2;0;0;0
1692258975.31;1692258975.813765;1692258975.815764;1692258975.861761;gateway_2;0;0;0
1692258975.813;1692258976.318448;1692258976.320445;1692258976.365444;gateway_2;0;0;0
